source_system;category;question;document_id
evdi;Allgemeine Fragen;Welche Rolle spielt die Crowd-Finanzierung für die Finanzierung von Immobilienprojekten?;04f2ab1176b6
evdi;Allgemeine Fragen;Welche Finanzierungslücke will die Crowd-Finanzierung schließen?;04f2ab1176b6
evdi;Allgemeine Fragen;Welche Vorteile bringt die Crowd-Finanzierung für den Projektentwickler?;04f2ab1176b6
evdi;Allgemeine Fragen;Welche Vorteile bringt die Crowd-Finanzierung für die Crowd-Investoren?;04f2ab1176b6
evdi;Allgemeine Fragen;Was sind die Vorteile der Crowdinvesting-Plattform Engel & Völkers Digital Invest?;6d6add048452
evdi;Allgemeine Fragen;Was bedeutet es, wenn ich mit Engel & Völkers Digital Invest investiere?;6d6add048452
evdi;Allgemeine Fragen;Was bedeutet die Finanzierungsgarantie von Engel & Völkers Digital Invest?;6d6add048452
evdi;Allgemeine Fragen;Welche Sicherheiten bietet die Crowdinvesting-Plattform Engel & Völkers Digital Invest?;6d6add048452
evdi;Allgemeine Fragen;Welche Immobilien-Projekte kann ich mit Engel & Völkers Digital Invest investieren?;6d6add048452
evdi;Allgemeine Fragen;Kann es Interessenkonflikte geben, woher resultieren sie und durch welche Vorkehrungen schwächen wir sie ab?;b2938001b025
evdi;Allgemeine Fragen;In welchen Fällen könnte EVDI und/oder ihre Mitarbeiter oder Mitarbeiter von mittelbaren oder unmittelbaren Aktionären von EVDI daran interessiert sein, dass sich in möglichst kurzer Zeit so viele Crowd-Investoren wie möglich an der betreffenden Schwarmfinanzierung durch den Erwerb von Investitionsprojekten über die Plattform beteiligen und dadurch eine möglichst hohe Investitionssumme erreicht wird?;b2938001b025
evdi;Allgemeine Fragen;Was ist die Gebührenstruktur bei EVDI?;b2938001b025
evdi;Allgemeine Fragen;Was müssen wir offenlegen, um Interessenkonflikte zu vermeiden?;b2938001b025
evdi;Allgemeine Fragen;Welche organisatorischen Verfahren zur Wahrung des Anlegerinteresses in der Finanzierungsvermittlung haben wir eingerichtet?;b2938001b025
evdi;Geld anlegen;Wer kann über die Crowdinvesting-Plattform von Engel & Völkers Digital Invest AG Geld anlegen?;5f8e07c35f91
evdi;Geld anlegen;Welche Nutzungsbedingungen gelten für die Anlage über die Plattform?;5f8e07c35f91
evdi;Geld anlegen;Können Mitarbeiter, Geschäftsführer und Anteilseigner der EV Digital Invest AG über die Plattform Geld anlegen?;5f8e07c35f91
evdi;Geld anlegen;Werden potenziellen Anlegern Risiken hinsichtlich der Investition in digitale Immobilien-Investments aufgezeigt?;5f8e07c35f91
evdi;Geld anlegen;Wie hoch ist das Risiko bei der Anlage in digitale Immobilien-Investments?;5f8e07c35f91
evdi;Geld anlegen;Warum raten Verbraucherschützer Kleinanlegern oft vom Crowdinvesting ab?;e034a049c3bb
evdi;Geld anlegen;Wie kann ich mich informieren, bevor ich Geld in ein Crowdinvesting-Projekt investiere?;e034a049c3bb
evdi;Geld anlegen;Welche Risiken sind mit dem Crowdinvesting verbunden?;e034a049c3bb
evdi;Geld anlegen;Was sollte ich beachten, bevor ich in ein Crowdinvesting-Projekt investiere?;e034a049c3bb
evdi;Geld anlegen;Was ist bei der Geldanlage zu beachten?;e034a049c3bb
evdi;Geld anlegen;Was ist der Mindestbetrag, den ich als Privatanleger investieren kann?;411c43258572
evdi;Geld anlegen;Was ist der maximale Betrag, den ich als Privatanleger investieren kann?;411c43258572
evdi;Geld anlegen;Was muss ich tun, wenn ich als Privatanleger mehr als 25.000 Euro investieren möchte?;411c43258572
evdi;Geld anlegen;Was muss ich tun, wenn ich als Privatanleger mehr als 100.000 Euro investieren möchte?;411c43258572
evdi;Geld anlegen;Was muss ich tun, wenn ich als Privatanleger mehr als 50.000 Euro investieren möchte?;411c43258572
evdi;Geld anlegen;Kann ich mein Geld vor Ende der Laufzeit abziehen?;497b6cf873f3
evdi;Geld anlegen;Werden meine Einlagen vor Ende der Laufzeit verzinst?;497b6cf873f3
evdi;Geld anlegen;Kann ich während der Laufzeit mein Geld zurückziehen?;497b6cf873f3
evdi;Geld anlegen;Wie lange dauert es, bis ich mein Geld zurückhabe?;497b6cf873f3
evdi;Geld anlegen;Wie lange muss ich mein Geld bei EV Digital Invest AG anlegen?;497b6cf873f3
evdi;Geld anlegen;In welche Projekte investiere ich bei EV Digital Invest?;5c667a1918c3
evdi;Geld anlegen;Welche Art von Immobilien können finanziert werden?;5c667a1918c3
evdi;Geld anlegen;Wer sind die anderen Crowd-Anleger?;5c667a1918c3
evdi;Geld anlegen;Wie lange bleibt mein Geld in den Projekten?;5c667a1918c3
evdi;Geld anlegen;Wer ist für die Auszahlung der Zinsen verantwortlich?;5c667a1918c3
evdi;Geld anlegen;Kann ich nach Vertragsabschluss noch von meinem Investment zurücktreten?;e7455ffc7019
evdi;Geld anlegen;Wie lange habe ich Zeit, um mein Investment zurückzutreten?;e7455ffc7019
evdi;Geld anlegen;Was passiert, wenn ich mein Investment nach Vertragsabschluss zurücktreten möchte?;e7455ffc7019
evdi;Geld anlegen;Was ist mit der Kostenfreiheit des Widerrufs von Investitionsverträgen?;e7455ffc7019
evdi;Geld anlegen;Was ist mit der vorvertraglichen Bedenkzeit von vier Tagen?;e7455ffc7019
evdi;Geld anlegen;Was muss ich tun, wenn ich als Kapitalgesellschaft eine Investition tätigen möchte?;ccad702fa726
evdi;Geld anlegen;Was sind die Einschränkungen für mich als privater Anleger?;ccad702fa726
evdi;Geld anlegen;Was muss ich tun, wenn ich als privater Anleger umfangreiche Erfahrung mit weniger Einschränkungen haben möchte?;ccad702fa726
evdi;Geld anlegen;Welche Beschränkungen gibt es für Schwarmfinanzierungen?;ccad702fa726
evdi;Geld anlegen;Wie kann ich meine Einstufung als Anleger aktualisieren?;ccad702fa726
evdi;Anlageprojekte;Was ist die Makler- und Bauträgerverordnung (MaBV)?;ebb36f641457
evdi;Anlageprojekte;Wie viele Raten kann der Bauträger verlangen?;ebb36f641457
evdi;Anlageprojekte;Wann wird die letzte Rate fällig?;ebb36f641457
evdi;Anlageprojekte;Was ist der Zweck der MaBV?;ebb36f641457
evdi;Anlageprojekte;Welche Leistungen sind bei der MaBV erwähnt?;ebb36f641457
evdi;Anlageprojekte;Welche Anlagenprojekte werden aktuell von der EV Digital Invest AG angeboten?;1df05ad6e34d
evdi;Anlageprojekte;Wie werden die Finanzierungsziele der Projekte erreicht?;1df05ad6e34d
evdi;Anlageprojekte;Wie lange dauert die Finanzierung eines Projektes?;1df05ad6e34d
evdi;Anlageprojekte;Was sind die Kosten für die Finanzierung eines Projektes?;1df05ad6e34d
evdi;Anlageprojekte;Wer ist für die Durchführung der Projekte verantwortlich?;1df05ad6e34d
evdi;Anlageprojekte;Wie bewertet die EV Digital Invest AG die Wirtschaftlichkeit der Projekte?;bbbdc8322e56
evdi;Anlageprojekte;Wie bewertet die EV Digital Invest AG den Standort der Projekte?;bbbdc8322e56
evdi;Anlageprojekte;Wie bewertet die EV Digital Invest AG das Grundstück der Projekte?;bbbdc8322e56
evdi;Anlageprojekte;Wie bewertet die EV Digital Invest AG den jeweiligen Markt der Projekte?;bbbdc8322e56
evdi;Anlageprojekte;Wie bewertet die EV Digital Invest AG die individuelle Projektcharakteristik?;bbbdc8322e56
evdi;Anlageprojekte;Wie viele Projekte werden von der EV Digital Invest AG angeboten?;64b799a9a88e
evdi;Anlageprojekte;Wie wählt die EV Digital Invest AG ihre Projekte aus?;64b799a9a88e
evdi;Anlageprojekte;Welche Projekte werden von der EV Digital Invest AG nicht angenommen?;64b799a9a88e
evdi;Anlageprojekte;Wie bewertet die EV Digital Invest AG die Projekte?;64b799a9a88e
evdi;Anlageprojekte;Welche Projekte kann die EV Digital Invest AG guten Gewissens anbieten?;64b799a9a88e
evdi;Anlageprojekte;In welche Projekte kann ich investieren?;dbc7d3738dcd
evdi;Anlageprojekte;Welche Vorteile habe ich bei der Investition in ein Immobilienprojekt gegenüber einer Fondsinvestition?;dbc7d3738dcd
evdi;Anlageprojekte;Habe ich die Möglichkeit, meine Investitionen zu verkaufen?;dbc7d3738dcd
evdi;Anlageprojekte;Wie hoch ist mein Mindestinvestment bei Engel & Völkers Digital Invest?;dbc7d3738dcd
evdi;Anlageprojekte;Wie hoch sind meine Renditechancen bei einer Investition in ein Immobilienprojekt?;dbc7d3738dcd
evdi;Anlageprojekte;Was ist ein qualifiziertes Nachrangdarlehen?;fb7b581961d2
evdi;Anlageprojekte;Welche Risiken sind mit einem qualifizierten Nachrangdarlehen verbunden?;fb7b581961d2
evdi;Anlageprojekte;Wie hoch ist die Verzinsung bei einem qualifizierten Nachrangdarlehen?;fb7b581961d2
evdi;Anlageprojekte;Wie kann ich erkennen, ob ein Investitionsprojekt als qualifiziertes Nachrangdarlehen gilt?;fb7b581961d2
evdi;Anlageprojekte;Was bedeutet der Hinweis „Dieses Investitionsprojekt wird vermittelt im Rahmen des VermAnlG und mit Erlaubnis gemäß §34f GewO.“?;fb7b581961d2
evdi;Anlageprojekte;Welche Gründe können zu einer Verlängerung des Finanzierungszeitraums bei Bestandsgebäuden führen?;511ee8123f46
evdi;Anlageprojekte;Welche Gründe können zu einer Verlängerung des Finanzierungszeitraums bei Bauvorhaben führen?;511ee8123f46
evdi;Anlageprojekte;Welche Gründe können zu einem zusätzlichen Kapitalbedarf führen?;511ee8123f46
evdi;Anlageprojekte;Was passiert mit den Anlegern des ursprünglichen Investitionsprojektes wenn ein zweites Finanzierungsprojekt angeboten wird?;511ee8123f46
evdi;Anlageprojekte;Wie wird mit den Anlegern des ursprünglichen Investitionsprojektes verfahren wenn ein zweites Finanzierungsprojekt angeboten wird?;511ee8123f46
evdi;Ablauf der Investition;Was sind die Zahlungsmethoden und wie lange habe ich Zeit dafür?;0acf042e4ee8
evdi;Ablauf der Investition;Was ist die maximale Zahlungsfrist?;0acf042e4ee8
evdi;Ablauf der Investition;Was geschieht mit meinem Geld, wenn ich die Zahlungsfrist nicht eingehalten habe?;0acf042e4ee8
evdi;Ablauf der Investition;Kann ich eine Lastschrift anstelle einer Online-Überweisung nutzen?;0acf042e4ee8
evdi;Ablauf der Investition;Wie kann ich den Vertrag bestätigen?;0acf042e4ee8
evdi;Ablauf der Investition;Wie kann ich meine Zahlungsdaten aktualisieren?;ca4c6b142b02
evdi;Ablauf der Investition;Wohin kann ich mich wenden, wenn ich Probleme mit meiner Zahlung habe?;ca4c6b142b02
evdi;Ablauf der Investition;Welche Zahlungsmethoden werden akzeptiert?;ca4c6b142b02
evdi;Ablauf der Investition;Wie lange dauert es, bis die Zahlung verarbeitet wird?;ca4c6b142b02
evdi;Ablauf der Investition;Was passiert, wenn ich meine Zahlung nicht fristgerecht leisten kann?;ca4c6b142b02
evdi;Ablauf der Investition;Warum sehe ich meine Auszahlungspläne erst rund 16 Tage nach dem Ende der Kampagne?;bf7822b52e25
evdi;Ablauf der Investition;Was ist mit den Zinsen während der 14-tägigen Widerrufsfrist?;bf7822b52e25
evdi;Ablauf der Investition;Wie lange dauert es, bis ich meine Auszahlungspläne sehen kann?;bf7822b52e25
evdi;Ablauf der Investition;Wie lange dauert es, bis ich meine Auszahlung erhalte?;bf7822b52e25
evdi;Ablauf der Investition;Wie lange dauert es, bis ich meine Auszahlung erhalte, wenn ich am letzten Tag der Kampagne investiert habe?;bf7822b52e25
evdi;Ablauf der Investition;Wenn ich Geld investiere, wann bekomme ich es wieder zurück?;acf855368aa1
evdi;Ablauf der Investition;Wann erhalte ich mein eingesetztes Kapital zurück, wenn ich ein Darlehen vermittelt bekomme?;acf855368aa1
evdi;Ablauf der Investition;Wenn ich Geld investiere, wie oft bekomme ich Zinsen?;acf855368aa1
evdi;Ablauf der Investition;Wie oft bekomme ich Zinsen, wenn ich ein Darlehen vermittelt bekomme?;acf855368aa1
evdi;Ablauf der Investition;Wenn ich Geld investiere, wann erhalte ich mein eingesetztes Kapital zurück?;acf855368aa1
evdi;Ablauf der Investition;Welche E-Mail Adresse nutze ich um mit dem Kundenservice zu kommunizieren?;a3573dacfb18
evdi;Ablauf der Investition;Welche Telefonnummer nutze ich um mit dem Kundenservice zu kommunizieren?;a3573dacfb18
evdi;Ablauf der Investition;Welche Tage und Uhrzeiten sind der Kundenservice erreichbar?;a3573dacfb18
evdi;Ablauf der Investition;Wo veröffentlicht der Kundenservice projektspezifische Antworten?;a3573dacfb18
evdi;Ablauf der Investition;Wie lange dauert es, bis der Kundenservice auf meine Mail antwortet?;a3573dacfb18
evdi;Ablauf der Investition;Was ist die vorvertragliche Bedenkzeit?;39a2a765c855
evdi;Ablauf der Investition;Wie lange dauert die vorvertragliche Bedenkzeit?;39a2a765c855
evdi;Ablauf der Investition;Was geschieht nach Ablauf der vorvertraglichen Bedenkzeit?;39a2a765c855
evdi;Ablauf der Investition;Was ist der Grund für die vorvertragliche Bedenkzeit?;39a2a765c855
evdi;Ablauf der Investition;Wer hat die vorvertragliche Bedenkzeit ins Leben gerufen?;39a2a765c855
evdi;Automatisierte Investmentstrategien;Was ist die Funktion der automatisierten Investmentstrategie?;3e79f1581b45
evdi;Automatisierte Investmentstrategien;Kann ich meine Einstellungen für die automatisierte Investmentstrategie jederzeit ändern?;3e79f1581b45
evdi;Automatisierte Investmentstrategien;Was passiert, wenn ich meine Einstellungen für die automatisierte Investmentstrategie nicht rechtzeitig ändere und ein Projekt, das nicht meinen Wünschen entspricht, automatisch reserviert wird?;3e79f1581b45
evdi;Automatisierte Investmentstrategien;Wie können ich meine Wunscheinstellungen für die automatisierte Investmentstrategie treffen?;3e79f1581b45
evdi;Automatisierte Investmentstrategien;Werden meine persönlichen Daten und Finanzinformationen bei der Verwendung der automatisierten Investmentstrategie sicher gehalten?;3e79f1581b45
evdi;Automatisierte Investmentstrategien;Welche Folgen ergeben sich, wenn ich versäumte ich die Reservierung?;7771577fd1fd
evdi;Automatisierte Investmentstrategien;Was ist der Grund, weshalb versäumte Reservierungen gelöscht werden?;7771577fd1fd
evdi;Automatisierte Investmentstrategien;Was kann ich tun, wenn ich mehr als den eingestellten Betrag investieren möchte?;7771577fd1fd
evdi;Automatisierte Investmentstrategien;Was geschieht mit den Reservierungen, die nicht genutzt wurden?;7771577fd1fd
evdi;Automatisierte Investmentstrategien;Welche Zeitspanne habe ich, um eine Reservierung zu nutzen?;7771577fd1fd
evdi;Automatisierte Investmentstrategien;Kann ich den Betrag meines automatisierten Investments nach der Einrichtung ändern?;b92dd6e2401a
evdi;Automatisierte Investmentstrategien;Kann ich die Höhe meines monatlichen automatisierten Investments ändern?;b92dd6e2401a
evdi;Automatisierte Investmentstrategien;Kann ich die Höhe meines einmaligen automatisierten Investments ändern?;b92dd6e2401a
evdi;Automatisierte Investmentstrategien;Kann ich meine automatisierte Investmentstrategie nach dem Start ändern?;b92dd6e2401a
evdi;Automatisierte Investmentstrategien;Kann ich die Investitionsstrategie, die ich für meine Reservierung gewählt habe, nach der Reservierung ändern?;b92dd6e2401a
evdi;Automatisierte Investmentstrategien;Warum wird ein Teilbetrag des Finanzierungsvolumens öffentlich angeboten?;0325e1edbebc
evdi;Automatisierte Investmentstrategien;Was passiert, wenn die Nachfrage der automatisierten Investmentstrategien das verfügbare Finanzierungsvolumen überschreitet?;0325e1edbebc
evdi;Automatisierte Investmentstrategien;Was bedeutet es, wenn der reservierte Betrag von meinem Wunschbetrag abweicht?;0325e1edbebc
evdi;Automatisierte Investmentstrategien;Wie setzt sich das Finanzierungsvolumen zusammen?;0325e1edbebc
evdi;Automatisierte Investmentstrategien;Welche Rolle spielt die Nachfrage der automatisierten Investmentstrategien bei der Vergabe des Finanzierungsvolumens?;0325e1edbebc
evdi;Automatisierte Investmentstrategien;Kann ich die automatisierte Investmentstrategie selbst verändern?;c4be0bb86aef
evdi;Automatisierte Investmentstrategien;Wie lange bleibt die automatisierte Investmentstrategie aktiv?;c4be0bb86aef
evdi;Automatisierte Investmentstrategien;Was passiert mit meiner Investition, wenn die automatisierte Investmentstrategie beendet wird?;c4be0bb86aef
evdi;Automatisierte Investmentstrategien;Kann ich während der Laufzeit der automatisierten Investmentstrategie zusätzlich investieren?;c4be0bb86aef
evdi;Automatisierte Investmentstrategien;Werden meine Investitionen während der Pause der automatisierten Investmentstrategie geschützt?;c4be0bb86aef
evdi;Sicherheit bei Engel & Völkers Digital Invest;Wie viele Stufen hat der Analyseprozess für Immobilienprojekte bei Engel & Völkers Digital Invest?;c21100f6894d
evdi;Sicherheit bei Engel & Völkers Digital Invest;Welche der vier Anlageklassen entspricht einem geringeren Ausfallrisiko?;c21100f6894d
evdi;Sicherheit bei Engel & Völkers Digital Invest;Wie kann ich als Anleger das Ausfallrisiko bei Engel & Völkers Digital Invest minimieren?;c21100f6894d
evdi;Sicherheit bei Engel & Völkers Digital Invest;Was ist der Zusammenhang zwischen Zins und Ausfallrisiko bei Engel & Völkers Digital Invest?;c21100f6894d
evdi;Sicherheit bei Engel & Völkers Digital Invest;In welcher Anlageklasse wäre ich als Anleger gerne investiert?;c21100f6894d
evdi;Sicherheit bei Engel & Völkers Digital Invest;Was ist die Ausschüttungssperre?;c9a7e5726d3e
evdi;Sicherheit bei Engel & Völkers Digital Invest;Wie sicher sind die Projekte?;c9a7e5726d3e
evdi;Sicherheit bei Engel & Völkers Digital Invest;Welche Arten von Sicherheiten können in Projekten angeboten werden?;c9a7e5726d3e
evdi;Sicherheit bei Engel & Völkers Digital Invest;Wer wickelt die Zahlungen ab?;c9a7e5726d3e
evdi;Sicherheit bei Engel & Völkers Digital Invest;Welche Sicherheiten bietet Engel & Völkers Digital Invest an?;c9a7e5726d3e
evdi;Sicherheit bei Engel & Völkers Digital Invest;Was bedeutet es, als Kapitalgeber für Unternehmen aufzutreten, die am Immobilienmarkt aktiv sind?;7f1df4b0f0d3
evdi;Sicherheit bei Engel & Völkers Digital Invest;Inwiefern ist das Risiko des Totalverlustes des eingesetzten Kapitals zu bewerten?;7f1df4b0f0d3
evdi;Sicherheit bei Engel & Völkers Digital Invest;Wie werden die erwarteten höheren Zinsen als Vergütung für das Risiko gehandhabt?;7f1df4b0f0d3
evdi;Sicherheit bei Engel & Völkers Digital Invest;Welche Faktoren sollten berücksichtigt werden, um ein Projekt mit dem eigenen Risikoprofil abzugleichen?;7f1df4b0f0d3
evdi;Sicherheit bei Engel & Völkers Digital Invest;Wo findet man ausführlichere Informationen zum Risiko?;7f1df4b0f0d3
evdi;Sicherheit bei Engel & Völkers Digital Invest;Was bedeutet Vollfinanzierungsgarantie?;473410228720
evdi;Sicherheit bei Engel & Völkers Digital Invest;Wer garantiert die Finanzierung?;473410228720
evdi;Sicherheit bei Engel & Völkers Digital Invest;Wie lange dauert die Finanzierungsgarantie?;473410228720
evdi;Sicherheit bei Engel & Völkers Digital Invest;Ist die Finanzierungsgarantie bei allen Projekten verfügbar?;473410228720
evdi;Sicherheit bei Engel & Völkers Digital Invest;Wer profitiert von der Finanzierungsgarantie?;473410228720
evdi;Sicherheit bei Engel & Völkers Digital Invest;Welche Sicherheit besteht für die Rückzahlung der Darlehenssumme?;622742f08ad5
evdi;Sicherheit bei Engel & Völkers Digital Invest;Welche Konsequenzen ergeben sich für die Darlehensgeber bei Verzögerung der Fertigstellung?;622742f08ad5
evdi;Sicherheit bei Engel & Völkers Digital Invest;Welche Sicherheit besteht für die Zinsen?;622742f08ad5
evdi;Sicherheit bei Engel & Völkers Digital Invest;Welche Sicherheit besteht für die Rückzahlung der Zinsen?;622742f08ad5
evdi;Sicherheit bei Engel & Völkers Digital Invest;Welche Konsequenzen ergeben sich für die Darlehensgeber bei Nichterfüllung der Verpflichtungen des Projektentwicklers?;622742f08ad5
evdi;Sicherheit bei Engel & Völkers Digital Invest;Welche Sicherheit besteht für mein Geld, falls die Plattform nicht mehr existiert?;62639d8d0a82
evdi;Sicherheit bei Engel & Völkers Digital Invest;Was passiert mit meinem Geld, wenn die Plattform nicht mehr existiert?;62639d8d0a82
evdi;Sicherheit bei Engel & Völkers Digital Invest;Wer ist für die Rückzahlung meines Darlehens verantwortlich, falls die Plattform nicht mehr existiert?;62639d8d0a82
evdi;Sicherheit bei Engel & Völkers Digital Invest;Wer ist für die Abwicklung meiner Zahlungen verantwortlich, falls die Plattform nicht mehr existiert?;62639d8d0a82
evdi;Sicherheit bei Engel & Völkers Digital Invest;Wie lange sind meine Verträge mit den Projektentwicklern gültig, falls die Plattform nicht mehr existiert?;62639d8d0a82
evdi;Sicherheit bei Engel & Völkers Digital Invest;Wer ist für die Kapitalverwaltung verantwortlich?;ffbad0337737
evdi;Sicherheit bei Engel & Völkers Digital Invest;Wer ist der Zahlungsdienstleister?;ffbad0337737
evdi;Sicherheit bei Engel & Völkers Digital Invest;Wer ist der Treuhänder?;ffbad0337737
evdi;Sicherheit bei Engel & Völkers Digital Invest;Wer überweist das Kapital an den Projektträger?;ffbad0337737
evdi;Sicherheit bei Engel & Völkers Digital Invest;Wer überweist das Kapital an die Investoren zurück?;ffbad0337737
evdi;Sicherheit bei Engel & Völkers Digital Invest;Was sind meine Pflichten nach Zahlung des Kapitals?;4488d561c852
evdi;Sicherheit bei Engel & Völkers Digital Invest;Habe ich eine Nachschusspflicht?;4488d561c852
evdi;Sicherheit bei Engel & Völkers Digital Invest;Was geschieht mit meinem Kapital?;4488d561c852
evdi;Sicherheit bei Engel & Völkers Digital Invest;Wer ist für die Verwaltung meines Kapitals zuständig?;4488d561c852
evdi;Sicherheit bei Engel & Völkers Digital Invest;Wer ist für die Verwaltung der Immobilien zuständig?;4488d561c852
evdi;Sicherheit bei Engel & Völkers Digital Invest;Was tun wir bei Engel & Völkers Digital Invest AG, um die Sicherheit meiner Daten zu gewährleisten?;1eff114743fd
evdi;Sicherheit bei Engel & Völkers Digital Invest;Welche Maßnahmen ergreifen wir bei Engel & Völkers Digital Invest AG, um den Schutz meiner persönlichen Daten zu gewährleisten?;1eff114743fd
evdi;Sicherheit bei Engel & Völkers Digital Invest;Wie verschlüsseln wir die Daten bei Engel & Völkers Digital Invest AG, um sie vor dem Zugriff Dritter zu schützen?;1eff114743fd
evdi;Sicherheit bei Engel & Völkers Digital Invest;Wie stellt Engel & Völkers Digital Invest AG sicher, dass meine Daten nicht veröffentlicht werden?;1eff114743fd
evdi;Sicherheit bei Engel & Völkers Digital Invest;Wie garantieren wir bei Engel & Völkers Digital Invest AG einen diskreten Umgang mit Ihren persönlichen Daten?;1eff114743fd
evdi;Rendite & Gebühren;Werden mir Gebühren für die Anlage meines Geldes berechnet?;c3a1afe9bc7f
evdi;Rendite & Gebühren;Beinhalten die Gebühren auch die Kosten für die Crowdinvesting-Plattform?;c3a1afe9bc7f
evdi;Rendite & Gebühren;Kann ich trotz Gebühren Geld verdienen?;c3a1afe9bc7f
evdi;Rendite & Gebühren;Werden mir Gebühren für die Registrierung berechnet?;c3a1afe9bc7f
evdi;Rendite & Gebühren;Werden mir Gebühren für die Verwaltung meiner Investitionen berechnet?;c3a1afe9bc7f
evdi;Rendite & Gebühren;Wie hoch sind die Zinsen für Projekte in der Risikoklasse 1?;0b5e77a38153
evdi;Rendite & Gebühren;Wie hoch sind die Zinsen für Projekte in der Risikoklasse 2?;0b5e77a38153
evdi;Rendite & Gebühren;Wie hoch sind die Zinsen für Projekte in der Risikoklasse 3?;0b5e77a38153
evdi;Rendite & Gebühren;Wie hoch sind die Zinsen für Projekte in der Risikoklasse 4?;0b5e77a38153
evdi;Rendite & Gebühren;Wie hoch sind die Zinsen für Projekte in der Risikoklasse 5?;0b5e77a38153
evdi;Rendite & Gebühren;Wann erhalte ich meine Zinsen und die Rückzahlung meines Investments?;1e91993b8eb8
evdi;Rendite & Gebühren;Wie oft erhalte ich Zinszahlungen?;1e91993b8eb8
